,From,To,TEU
0,JPN,JPN,0
1,JPN,LKA,9786
2,JPN,HKG,531377
3,JPN,CHN,1722977
4,JPN,SGP,197493
5,JPN,MYS,180274
6,JPN,KOR,666162
7,JPN,IND,102540
8,JPN,OAS,565392
9,JPN,PAK,21968
10,JPN,IDN,202044
11,JPN,PHL,115010
12,JPN,BGD,25730
13,JPN,THA,450051
14,JPN,VNM,283667
15,JPN,KHM,11124
16,JPN,MMR,16552
17,JPN,AFR,103477
18,JPN,EUR,918461
19,JPN,ELT,146296
20,JPN,WLT,24345
21,JPN,MDE,405243
22,JPN,NAM,1311321
23,JPN,OCE,149837
24,LKA,JPN,66972
25,LKA,LKA,0
26,LKA,HKG,33361
27,LKA,CHN,51690
28,LKA,SGP,28222
29,LKA,MYS,10926
30,LKA,KOR,15957
31,LKA,IND,183538
32,LKA,OAS,13558
33,LKA,PAK,25413
34,LKA,IDN,12474
35,LKA,PHL,14536
36,LKA,BGD,20290
37,LKA,THA,11429
38,LKA,VNM,49247
39,LKA,KHM,1752
40,LKA,MMR,1096
41,LKA,AFR,47093
42,LKA,EUR,1038227
43,LKA,ELT,28353
44,LKA,WLT,20912
45,LKA,MDE,287025
46,LKA,NAM,553448
47,LKA,OCE,61425
48,HKG,JPN,361567
49,HKG,LKA,14194
50,HKG,HKG,0
51,HKG,CHN,5895298
52,HKG,SGP,189782
53,HKG,MYS,74887
54,HKG,KOR,172469
55,HKG,IND,183982
56,HKG,OAS,266626
57,HKG,PAK,8789
58,HKG,IDN,67675
59,HKG,PHL,72833
60,HKG,BGD,33216
61,HKG,THA,140817
62,HKG,VNM,507315
63,HKG,KHM,23978
64,HKG,MMR,3139
65,HKG,AFR,45578
66,HKG,EUR,1110502
67,HKG,ELT,82399
68,HKG,WLT,20159
69,HKG,MDE,138771
70,HKG,NAM,1084284
71,HKG,OCE,153662
72,CHN,JPN,3784835
73,CHN,LKA,1910896
74,CHN,HKG,7150080
75,CHN,CHN,0
76,CHN,SGP,23248674
77,CHN,MYS,13021456
78,CHN,KOR,10661997
79,CHN,IND,1083018
80,CHN,OAS,2439699
81,CHN,PAK,663767
82,CHN,IDN,1905713
83,CHN,PHL,1162797
84,CHN,BGD,522389
85,CHN,THA,2071623
86,CHN,VNM,2373136
87,CHN,KHM,98358
88,CHN,MMR,231330
89,CHN,AFR,4309632
90,CHN,EUR,29830513
91,CHN,ELT,4663495
92,CHN,WLT,1125046
93,CHN,MDE,5425962
94,CHN,NAM,22408758
