,LOCODE,Country,Flow_in,Max_TEU,Min_TEU,UNLOCODE,Port_Name,draft0,draft1,draft2,draft3
0,BDCGP,BD,1146693,2806,431,BDCGP,CHATTOGRAM ,3124,0,0,0
1,CNDCB,CN,208187,6931,2770,CNDCB,DA CHAN BAY ,0,0,0,2430
2,CNDLC,CN,2840241,21237,650,CNDAL,DALIAN ,0,850,1120,2708
3,CNFOC,CN,426504,16022,368,CNFOC,Fuzhou,300,1699,0,2034
4,CNLYG,CN,1000865,15592,1040,CNLYG,LIANYUNGANG ,540,0,685,1700
5,CNNBG,CN,29187985.5,23964,368,CNNBG,NINGBO PT ,0,0,0,9500
6,CNNSA,CN,7867505,23756,599,CNNSA,NANSHA PT ,4989,1940,660,5350
7,CNQDG,CN,15423871,23964,698,CNQDG,QINGDAO PT ,706,475,420,8600
8,CNQZH,CN,251114,6096,556,CNQZH,QINZHOU PT ,0,0,0,1533
9,CNSHG,CN,35966517.5,23964,404,CNSHG,SHANGHAI PT ,3558,2815,2068,7950
10,CNSHK,CN,12867984,20776,300,CNSHK,SHEKOU PT ,0,1145,1840,4082
11,CNSWA,CN,226719,4432,1000,CNSTG,SHANTOU PT ,200,0,0,0
12,CNTXG,CN,3337204.5,23112,1155,CNTXG,TIANJIN XINGANG PT ,954,2658,932,3596
13,CNXMG,CN,11326372.5,23964,368,CNXMG,XIAMEN PT ,266,347,2353,5454
14,CNYTG,CN,217905,4253,542,CNYTG,YANTAI PT ,237,0,1492,2876
15,CNYTN,CN,20782480,23964,300,CNYTN,YANTIAN PT ,0,0,1366,6321
16,HKHKG,HK,19828682.5,23964,118,HKHKG,HONG KONG ,3050,0,915,5015
17,IDJKT,ID,2532005,8209,606,IDJKT,"JAKARTA, JAVA ",2303,2772,650,2610
18,IDSRG,ID,442194,8209,1064,IDSRG,SEMARANG ,635,0,0,0
19,IDSUB,ID,1252352,6422,618,IDSUB,SURABAYA ,3590,0,0,0
20,INCCU,IN,296641,2524,457,INCCU,KOLKATA (EX CALCUTTA) ,1711,0,0,0
21,INCOK,IN,555040,6921,411,INCOK,COCHIN ,513,0,434,600
22,INDMQ,IN,454425,6921,750,INKRI,KRISHNAPATNAM ,0,0,0,598
23,INHZA,IN,746354,13088,1613,INHZA,HAZIRA PORT/SURAT ,0,0,636,0
24,INMAA,IN,828841,7344,1108,INMAA,CHENNAI (EX MADRAS) ,0,0,905,772
25,INMRM,IN,617868,6931,750,INMRM,MARMAGAO (MARMUGAO) ,0,0,520,0
26,INMUN,IN,3501054,13324,498,INMUN,MUNDRA ,0,0,0,3320
27,INNSA,IN,4070333,13324,498,INNSA,JAWAHARLAL NEHRU (NHAVA SHEVA) ,1257,0,0,3358
28,INPAV,IN,1058168,9572,1613,INPAV,PIPAVAV (VICTOR) PORT ,0,0,350,385
29,INTUT,IN,286206,6921,1092,INTUT,TUTICORIN ,336,370,0,345
30,INVTZ,IN,594025,8499,1725,INVTZ,VISAKHAPATNAM ,0,0,0,806
31,JPHKT,JP,340044,3868,195,JPHKT,HAKATA/FUKUOKA ,2594,530,830,350
32,JPMOJ,JP,332026,3868,320,JPMOJ,MOJI/KITAKYUSHU ,1175,0,0,1225
33,JPNGO,JP,2678091,9394,657,JPNGO,"NAGOYA, AICHI ",620,900,985,1450
34,JPOSA,JP,1295868,8540,160,JPOSA,OSAKA ,0,0,2100,1350
35,JPSMZ,JP,763111.5,9394,698,JPSMZ,SHIMIZU ,690,940,0,760
36,JPTYO,JP,3915476,13140,657,JPTYO,TOKYO ,745,0,2001,2354
37,JPUKB,JP,3554303,14026,342,JPUKB,KOBE ,0,0,1400,3400
38,JPYKK,JP,352899,5527,701,JPYKK,YOKKAICHI ,0,0,910,0
